ID	Nome Parlamentar	Partido	UF	Está na Comissão?	Quer impeachment? 	Facebook	Twitter	Instagram	Email	Telefone Gabinete	Whats App		Foto	Endereço (Anexo)	Profissões	Cargo
25	ALICE PORTUGAL	PCdoB	BA	não	CONTRA	https://www.facebook.com/deputadaaliceportugal	https://twitter.com/alice_portugal	https://www.instagram.com/aliceportugal/	dep.aliceportugal@camara.leg.br	3215-5420			27.jpg	4	Química Industrial e Farmacêutica Bioquímica	DF
26	ALIEL MACHADO	REDE	PR	sim	CONTRA	https://www.facebook.com/AlielMachadoVereador/	https://twitter.com/alielmachado	https://instagram.com/alielmachado	dep.alielmachado@camara.leg.br	3215-5480			28.jpg	3		DF
27	ALTINEU CÔRTES	PMDB	RJ	não	CONTRA	https://www.facebook.com/altineucortes/	https://twitter.com/altineu		dep.altineucortes@camara.leg.br	3215-5578			29.jpg	3	Empresário	DF
28	ALUISIO MENDES	PTN	MA	não	CONTRA	https://www.facebook.com/AluisioMendesOficial	https://twitter.com/a_mendes2727		dep.aluisiomendes@camara.leg.br	3215-5931			30.jpg	4	Funcionário Público Federal	DF
29	ANA PERUGINI	PT	SP	não	CONTRA	https://www.facebook.com/ana.perugini/	https://twitter.com/deputadoana	https://instagram.com/anaperugini	dep.anaperugini@camara.leg.br	3215-5436			31.jpg	4	Advogada	DF
30	ANDERSON FERREIRA	PR	PE	não	FAVOR	https://www.facebook.com/andersonferreirafederal/	https://twitter.com/federalanderson		dep.andersonferreira@camara.leg.br	3215-5450			32.jpg	4		DF
31	ANDRÉ ABDON	PP	AP	não	INDECISO	https://www.facebook.com/depandreabdon	https://twitter.com/dep_andreabdon	https://instagram.com/dep_andreabdon/	dep.andreabdon@camara.leg.br	3215-5831			33.jpg	4	Engenheiro Florestal	DF
32	ANDRÉ FUFUCA	PP	MA	não	INDECISO	https://www.facebook.com/Andr%25C3%25A9-Fufuca-474257199269888/	https://twitter.com/depandrefufuca	https://www.instagram.com/andre_fufuca/	dep.andrefufuca@camara.leg.br	3215-5945			34.jpg	4	Médico(a)	DF
33	ANDRE MOURA	PSC	SE	não	FAVOR	https://www.facebook.com/OficialAndreMoura/	https://twitter.com/andremourapsc_	https://www.instagram.com/andremourapsc/	dep.andremoura@camara.leg.br	3215-5846			35.jpg	4	Político	DF
34	ANDRES SANCHEZ	PT	SP	não	CONTRA	https://www.facebook.com/torcidaandres	https://twitter.com/torcidaandres	https://www.instagram.com/torcidaandres/	dep.andressanchez@camara.leg.br	3215-5939			36.jpg	4	Administrador	DF
35	ANGELA ALBINO	PCdoB	SC	não	CONTRA	https://twitter.com/angela_albino		https://www.instagram.com/angelaalbinosc/	dep.angelaalbino@camara.leg.br	3215-5609			37.jpg	4		DF
36	ANGELIM	PT	AC	não	CONTRA	https://www.facebook.com/angelim.acre	https://twitter.com/RaimundoAngelim		dep.angelim@camara.leg.br	3215-5543			38.jpg	4	Economista	DF
37	ANÍBAL GOMES	PMDB	CE	não	INDECISO				dep.anibalgomes@camara.leg.br	3215-5731			39.jpg	4	Cirurgião-dentista e Agropecuarista	DF
38	ANTONIO BRITO	PSD	BA	não	CONTRA	https://www.facebook.com/antoniobritobahia/	https://twitter.com/antoniobritoba		dep.antoniobrito@camara.leg.br	3215-5479			40.jpg	3	Administrador de Empresas	DF
39	ANTONIO BULHÕES	PRB	SP	não	INDECISO	https://www.facebook.com/antonio.bulhoes.7/	https://twitter.com/depbulhoes	https://www.instagram.com/antoniobulhoes/	dep.antoniobulhoes@camara.leg.br	3215-5327			41.jpg	4	Apresentador de Televisão, Administrador, Teólogo e Bispo Evangélico	DF
40	ANTONIO CARLOS MENDES THAME	PV	SP	não	FAVOR	https://www.facebook.com/deputadofederalmendesthame	https://twitter.com/mendesthame		dep.antoniocarlosmendesthame@camara.leg.br	3215-5915			42.jpg	4	Professor Universitário.	DF
41	ANTONIO IMBASSAHY	PSDB	BA	não	FAVOR	https://www.facebook.com/antonio.imbassahy/	https://twitter.com/dep_imbassahy	https://www.instagram.com/antonioimbassahy/	dep.antonioimbassahy@camara.leg.br	3215-5810			43.jpg	4	Engenheiro Eletricista	DF
42	ANTÔNIO JÁCOME	PTN	RN	não	INDECISO	https://www.facebook.com/jacomern	https://twitter.com/antoniojacome	https://www.instagram.com/jacomern/	dep.antoniojacome@camara.leg.br	3215-5230			44.jpg	4	Advogado(a),médico(a),teólogo	DF
43	ARIOSTO HOLANDA	PDT	CE	não	INDECISO	https://www.facebook.com/deputadoariostoholanda	https://twitter.com/deputadoariosto	https://www.instagram.com/ariostoholanda/	dep.ariostoholanda@camara.leg.br	3215-5940			45.jpg	4	Professor Universitário e Engenheiro Civil	DF
44	ARLINDO CHINAGLIA	PT	SP	sim	CONTRA	https://www.facebook.com/depchinaglia/	https://twitter.com/achinaglia	https://www.instagram.com/depchinaglia/	dep.arlindochinaglia@camara.leg.br	3215-5966			46.jpg	1	Médico	DF
45	ARNALDO FARIA DE SÁ	PTB	SP	não	FAVOR	https://www.facebook.com/deputadoarnaldofariadesa/	https://twitter.com/dep_arnaldo1452		dep.arnaldofariadesa@camara.leg.br	3215-5929			47.jpg	4	Contabilista, Radialista, Professor e Advogado	DF
46	ARNALDO JORDY	PPS	PA	não	FAVOR	https://www.facebook.com/deputadoarnaldojordy	https://twitter.com/arnaldojordy	https://www.instagram.com/arnaldojordy/	dep.arnaldojordy@camara.leg.br	3215-5506			48.jpg	4	Político	DF
47	ARNON BEZERRA	PTB	CE	não	CONTRA	https://www.facebook.com/Deputado-Arnon-Bezerra-430249640450487			dep.arnonbezerra@camara.leg.br	3215-5413			49.jpg	4	Médico	DF
48	ARTHUR LIRA	PP	AL	não	INDECISO	https://www.facebook.com/arthurliradeputadofederal	https://twitter.com/departhurlira		dep.arthurlira@camara.leg.br	3215-5942			50.jpg	4	Agropecuarista, Bacharel Em Direito, Empresário	DF
49	ARTHUR OLIVEIRA MAIA	PPS	BA	não	FAVOR	https://www.facebook.com/arthur.oliveiramaia/	https://twitter.com/departhurmaia	https://www.instagram.com/departhuroliveiramaia/	dep.arthuroliveiramaia@camara.leg.br	3215-5830			51.jpg	4	Advogado	DF
50	ARTHUR VIRGÍLIO BISNETO	PSDB	AM	não	FAVOR	https://www.facebook.com/arthurvirgiliobisneto	https://twitter.com/arthurbisneto	https://www.instagram.com/arthurbisnetooficial	dep.arthurvirgiliobisneto@camara.leg.br	3215-5583			52.jpg	3	Político	DF
51	ASSIS CARVALHO	PT	PI	não	CONTRA	https://www.facebook.com/assiscarvalho.pt/	https://twitter.com/assis_carvalho	https://www.instagram.com/assiscarvalho13/	dep.assiscarvalho@camara.leg.br	3215-5909			53.jpg	4	Funcionário Público Federal	DF
52	ASSIS DO COUTO	PDT	PR	não	CONTRA	https://www.facebook.com/deputadoassisdocouto	https://twitter.com/assisdocouto		dep.assisdocouto@camara.leg.br	3215-5428			54.jpg	4	Agricultor	DF
53	ÁTILA LINS	PSD	AM	não	INDECISO	https://www.facebook.com/Deputado-%25C3%2581tila-Lins-329607960409077			dep.atilalins@camara.leg.br	3215-5730			55.jpg	4	Bacharel Em Direito, Graduado Pela Universidade Federal do Amazonas Em 1.976; Advogado Com Inscrição Na Oab/am Nº 1.000 ; Bacharel Em Economia, Graduado Pela Universidade Federal do Amazonas Em 1.986; Auditor Concursado do Tce/am, 1.977	DF
54	ÁTILA LIRA	PSB	PI	não	FAVOR	https://www.facebook.com/atilafreitaslira/	https://twitter.com/deputadoatila	https://instagram.com/atilafreitaslira/	dep.atilalira@camara.leg.br	3215-5640			56.jpg	4	Administrador de Empresas e Economista	DF
55	AUGUSTO CARVALHO	SD	DF	não	FAVOR	https://www.facebook.com/DepAugustoCarvalho	https://twitter.com/dep_augustodf		dep.augustocarvalho@camara.leg.br	3215-5215			57.jpg	4		DF
56	AUGUSTO COUTINHO	SD	PE	não	FAVOR	https://www.facebook.com/augusto.coutinho	https://twitter.com/augustocmelo	https://www.instagram.com/augustocmelo/	dep.augustocoutinho@camara.leg.br	3215-5373			58.jpg	3	Engenheiro Civil	DF
57	AUREO	SD	RJ	não	FAVOR	https://www.facebook.com/AureoDeputado/	https://twitter.com/deputadoaureo	https://www.instagram.com/aureodeputado/	dep.aureo@camara.leg.br	3215-5212			59.jpg	4	Empresário	DF
58	BACELAR	PTN	BA	sim	CONTRA	https://www.facebook.com/bacelaroficial	https://twitter.com/deputadobacelar	http://instagram.com/deputadobacelar/	dep.bacelar@camara.leg.br	3215-5381			60.jpg	3	Administrador	DF
59	BALEIA ROSSI	PMDB	SP	não	FAVOR	https://www.facebook.com/BaleiaRossi/	https://twitter.com/baleia_rossi	https://www.instagram.com/baleiarossi/	dep.baleiarossi@camara.leg.br	3215-5829			61.jpg	4	Empresário	DF
60	BEBETO	PSB	BA	sim	CONTRA	https://www.facebook.com/bebetogalvao	https://twitter.com/deputadobebeto	https://www.instagram.com/bebetogalvao/	dep.bebeto@camara.leg.br	3215-5541			62.jpg	4		DF
61	BENEDITA DA SILVA	PT	RJ	não	CONTRA	https://www.facebook.com/blogdabenedita	https://twitter.com/blogdabenedita		dep.beneditadasilva@camara.leg.br	3215-5330			63.jpg	4	Assistente Social, Auxiliar de Enfermagem, Professor, Servidor Público	DF
62	BENITO GAMA	PTB	BA	sim	FAVOR	https://www.facebook.com/Benito-Gama-584677634909297/	https://twitter.com/benitogama	https://www.instagram.com/benitogama/	dep.benitogama@camara.leg.br	3215-5414			64.jpg	4	Economista,professor(a)	DF
63	BENJAMIN MARANHÃO	SD	PB	não	FAVOR	https://twitter.com/benjamimaranhao			dep.benjaminmaranhao@camara.leg.br	3215-5458			65.jpg	4	Cirurgião-dentista	DF
64	BETINHO GOMES	PSDB	PE	não	FAVOR	https://www.facebook.com/betinho45/	https://twitter.com/betinhogomes		dep.betinhogomes@camara.leg.br	3215-5269			66.jpg	3	Engenheiro Agrônomo	DF
65	BETO FARO	PT	PA	não	CONTRA	https://www.facebook.com/beto.faro.5/	https://twitter.com/betofaropt		dep.betofaro@camara.leg.br	3215-5723			67.jpg	4	Agricultor Familiar	DF
66	BETO MANSUR	PRB	SP	não	FAVOR	https://www.facebook.com/betomansur/	https://twitter.com/betomansur10	https://www.instagram.com/betomansur10	dep.betomansur@camara.leg.br	3215-5616			68.jpg	4	Radialista, Empresário e Engenheiro Eletrônico	DF
67	BETO ROSADO	PP	RN	não	INDECISO	https://www.facebook.com/betorosado1111/	https://twitter.com/betorosado	https://www.instagram.com/betorosado1111/	dep.betorosado@camara.leg.br	3215-5840			69.jpg	4	Agrônomo	DF
68	BETO SALAME	PP	PA	não	INDECISO	https://www.facebook.com/betosalame/	https://twitter.com/salamefilho		dep.betosalame@camara.leg.br	3215-5473			70.jpg	3		DF
69	BILAC PINTO	PR	MG	não	FAVOR	https://www.facebook.com/deputadofederalbilacpinto/	https://twitter.com/bilac_pinto		dep.bilacpinto@camara.leg.br	3215-5806			71.jpg	4	Advogado	DF
70	BOHN GASS	PT	RS	não	CONTRA	https://www.facebook.com/bohngass13	https://twitter.com/bohngass		dep.bohngass@camara.leg.br	3215-5469			72.jpg	3	Agricultor Familiar, Professor de História	DF
71	BONIFÁCIO DE ANDRADA	PSDB	MG	não	FAVOR	https://www.facebook.com/Dep.BonifacioAndrada/	https://twitter.com/bandrada		dep.bonifaciodeandrada@camara.leg.br	3215-5208			73.jpg	4	Advogado e Professor Universitário	DF
72	BRUNA FURLAN	PSDB	SP	não	FAVOR	https://www.facebook.com/BrunaFurlanDeputadaFederal/	https://twitter.com/depbrunafurlan	https://www.instagram.com/depbrunafurlan/	dep.brunafurlan@camara.leg.br	3215-5836			74.jpg	4		DF
73	BRUNNY	PR	MG	não	INDECISO	https://www.facebook.com/deputadabrunny			dep.brunny@camara.leg.br	3215-5260			75.jpg	4		DF
74	BRUNO ARAÚJO	PSDB	PE	não	FAVOR	https://www.facebook.com/BrunoAraujoPE	https://twitter.com/brunoaraujo4511	https://www.instagram.com/brunoaraujo4511/	dep.brunoaraujo@camara.leg.br	3215-5718			76.jpg	4	Advogado	DF
75	BRUNO COVAS	PSDB	SP	sim	FAVOR	https://www.facebook.com/BrunoCovasOficial/	https://twitter.com/brunocovas	https://www.instagram.com/brunocovas/	dep.brunocovas@camara.leg.br	3215-5521			77.jpg	4	Advogado(a),economista	DF
76	CABO DACIOLO	PTdoB	RJ	não		https://www.facebook.com/TV-Daciolo-264727663651168	https://twitter.com/cabodaciolo		dep.cabodaciolo@camara.leg.br	3215-5803			78.jpg	4	Militar	DF
77	CABO SABINO	PR	CE	não	FAVOR	https://www.facebook.com/Cabo-Sabino-697004213668375/		https://instagram.com/cabosabino/	dep.cabosabino@camara.leg.br	3215-5617			79.jpg	4	Corretor de Imóveis	DF
78	CABUÇU BORGES	PMDB	AP	não	INDECISO	https://www.facebook.com/OsCabucusOficial/	https://twitter.com/depcabucu	https://www.instagram.com/dr.damiao/	dep.cabucuborges@camara.leg.br	3215-5380			80.jpg	3	Comunicador de Rádio,economista	DF
79	CACÁ LEÃO	PP	BA	não	INDECISO	https://www.facebook.com/CacaLeaoOficial/	https://twitter.com/cacaleao	http://instagram.com/diegoandrademg	dep.cacaleao@camara.leg.br	3215-5320			81.jpg	4	Administrador	DF
80	CAETANO	PT	BA	não	CONTRA	https://www.facebook.com/luiz.caetanoBA	https://twitter.com/depcaetano	https://www.instagram.com/goulart_oficial/	dep.caetano@camara.leg.br	3215-5415			82.jpg	4	Farmacêutico Bioquímico	DF
81	CAIO NARCIO	PSDB	MG	não	FAVOR	https://www.facebook.com/caionarcio/	https://twitter.com/caionarcio	https://instagram.com/jeronimogoergen/	dep.caionarcio@camara.leg.br	3215-5431			83.jpg	4		DF
82	CAPITÃO AUGUSTO	PR	SP	não	FAVOR	https://www.facebook.com/capitaoaugustooficial/	https://twitter.com/capitao_augusto	https://instagram.com/deputadaluciana/	dep.capitaoaugusto@camara.leg.br	3215-5273			84.jpg	3	Policial Militar	DF
83	CARLOS ANDRADE	PHS	RR	não	INDECISO	https://www.facebook.com/deputadocarlosandrade/	https://twitter.com/carlosandradedf	https://instagram.com/deputadomarcelomatos/	dep.carlosandrade@camara.leg.br	3215-5758			85.jpg	4	Administrador,eletricitário	DF
84	CARLOS BEZERRA	PMDB	MT	não	CONTRA	https://www.facebook.com/deputadocarlosbezerra		https://www.instagram.com/milton_monti/	dep.carlosbezerra@camara.leg.br	3215-5815			86.jpg	4	Industrial, Advogado e Professor	DF
85	CARLOS EDUARDO CADOCA	PCdoB	PE	não	CONTRA	https://www.facebook.com/cadocadeputado	https://twitter.com/cadoca	https://www.instagram.com/misaelvarella/	dep.carloseduardocadoca@camara.leg.br	3215-5423			87.jpg	4	Advogado	DF
86	CARLOS GOMES	PRB	RS	não	INDECISO	https://www.facebook.com/deputadocarlosgomes/	https://twitter.com/carlosgomesdep	https://www.instagram.com/raquel.muniz/	dep.carlosgomes@camara.leg.br	3215-5285			88.jpg	3		DF
87	CARLOS HENRIQUE GAGUIM	PTN	TO	não	INDECISO	https://www.facebook.com/carlos.gaguim/	https://twitter.com/carlos_prb	https://www.instagram.com/renataabreuoficial/	dep.carloshenriquegaguim@camara.leg.br	3215-5222			89.jpg	4		DF
88	CARLOS MANATO	SD	ES	não	FAVOR	https://www.facebook.com/deputado.manato	https://twitter.com/deputadomanato	https://www.instagram.com/majorrocha45/	dep.carlosmanato@camara.leg.br	3215-5313			90.jpg	4	Medico	DF
89	CARLOS MARUN	PMDB	MS	não	FAVOR	https://www.facebook.com/carlos.marun	https://twitter.com/deputadomarun	https://www.instagram.com/rogeriorosso/	dep.carlosmarun@camara.leg.br	3215-5372			91.jpg	3	Advogado(a),engenheiro Civil	DF
90	CARLOS MELLES	DEM	MG	não	FAVOR	https://www.facebook.com/DeputadoCarlosMelles/	https://twitter.com/carlosmelles	https://www.instagram.com/ronaldocarletto/	dep.carlosmelles@camara.leg.br	3215-5243			92.jpg	4	Engenheiro Agrônomo e Empresário	DF
91	CARLOS SAMPAIO	PSDB	SP	sim	FAVOR	https://www.facebook.com/DeputadoCarlosSampaio/	https://twitter.com/carlossampaio_	https://www.instagram.com/deputadotadeualencar/	dep.carlossampaio@camara.leg.br	3215-5207			93.jpg	4	Promotor de Justiça.	DF
92	CARLOS ZARATTINI	PT	SP	não	CONTRA	https://www.facebook.com/dep.zarattini/	https://twitter.com/carloszarattini	https://www.instagram.com/zecacavalcanti/	dep.carloszarattini@camara.leg.br	3215-5808			94.jpg	4	Economista	DF
93	CARMEN ZANOTTO	PPS	SC	não	FAVOR	https://www.facebook.com/DeputadaCarmenZanotto	https://twitter.com/carmenzanotto	https://www.instagram.com/dep.zenaidemaia/	dep.carmenzanotto@camara.leg.br	3215-5240			95.jpg	4	Enfermeira	DF
94	CÉLIO SILVEIRA	PSDB	GO	não	FAVOR	https://www.facebook.com/CelioSilveiraOficial/	https://twitter.com/csilveira4599	https://www.instagram.com/celiosilveiradeputado/	dep.celiosilveira@camara.leg.br	3215-5565			96.jpg	3	Médico(a)	DF
95	CELSO JACOB	PMDB	RJ	não	INDECISO	https://www.facebook.com/deputadocelsojacob/	https://twitter.com/celsojacob	https://instagram.com/celsojacob/	dep.celsojacob@camara.leg.br	3215-5917			97.jpg	4		DF
96	CELSO MALDANER	PMDB	SC	não		https://www.facebook.com/celso.maldaner/	https://twitter.com/celsomaldaner	https://www.instagram.com/maldaner_celso/	dep.celsomaldaner@camara.leg.br	3215-5311			98.jpg	4	Economista, Empresário	DF
97	CELSO RUSSOMANNO	PRB	SP	não	FAVOR	https://www.facebook.com/celsorussomanno	https://twitter.com/celsorussomanno	https://www.instagram.com/celsorussomanno/	dep.celsorussomanno@camara.leg.br	3215-5960			99.jpg	4	Apresentador de Televisão, Repórter e Bacharel Em Direito	DF
98	CÉSAR HALUM	PRB	TO	não	INDECISO	https://www.facebook.com/cesarhalum/	https://twitter.com/cesarhalum	https://www.instagram.com/cesarhalum/	dep.cesarhalum@camara.leg.br	3215-5422			100.jpg	4	Médico Veterinário	DF
99	CÉSAR MESSIAS	PSB	AC	não	INDECISO	https://www.facebook.com/cesarmessiaspsb/			dep.cesarmessias@camara.leg.br	3215-5956			101.jpg	4	Pecuarista	DF
100	CHICO ALENCAR	PSOL	RJ	sim	CONTRA	https://www.facebook.com/chicoalencar/	https://twitter.com/depchicoalencar	https://www.instagram.com/chico.alencar	dep.chicoalencar@camara.leg.br	3215-5848			102.jpg	4	Professor de Ensino Superior	DF
101	CHICO D'ANGELO	PT	RJ	não	CONTRA	https://www.facebook.com/chicodangelo	https://twitter.com/chico_dangelo	https://instagram.com/chicodangelo/	dep.chicodangelo@camara.leg.br	3215-5542			103.jpg	4	Médico	DF
102	CHICO LOPES	PCdoB	CE	não	CONTRA	https://www.facebook.com/dep.chicolopes/	https://twitter.com/depchicolopes		dep.chicolopes@camara.leg.br	3215-5310			104.jpg	4	Professor e Auditor-fiscal	DF
103	CHRISTIANE DE SOUZA YARED	PR	PR	não	FAVOR	https://www.facebook.com/ChristianeYared	https://twitter.com/christianeyared	https://www.instagram.com/christianeyared/	dep.christianedesouzayared@camara.leg.br	3215-5201			105.jpg	4		DF
104	CÍCERO ALMEIDA	PSD	AL	não	FAVOR	https://www.facebook.com/ciceroalmeidapolitico			dep.ciceroalmeida@camara.leg.br	3215-5760			106.jpg	4	Cantor,radialista,repórter	DF
105	CLARISSA GAROTINHO	PR	RJ	não	INDECISO	https://www.facebook.com/ClarissaGarotinhoRJ/	https://twitter.com/dep_clarissa	https://www.instagram.com/clarissagarotinho/	dep.clarissagarotinho@camara.leg.br	3215-5714			107.jpg	4		DF
106	CLAUDIO CAJADO	DEM	BA	não	FAVOR	https://www.facebook.com/deputadocajado/	https://twitter.com/claudio_cajado		dep.claudiocajado@camara.leg.br	3215-5630			108.jpg	4	Advogado	DF
107	CLEBER VERDE	PRB	MA	não	INDECISO	https://www.facebook.com/deputadocleberverde/	https://twitter.com/cleberverde10	https://www.instagram.com/cleberverde/	dep.cleberverde@camara.leg.br	3215-5710			109.jpg	4	Vendedor Autônomo, Professor, Servidor Público, Político e Bacharel Em Direito	DF
108	CONCEIÇÃO SAMPAIO	PP	AM	não	FAVOR	https://www.facebook.com/deputadaconceicaosampaio/	https://twitter.com/dep_csampaio	https://www.instagram.com/deputadaconceicaosampaio/	dep.conceicaosampaio@camara.leg.br	3215-5515			110.jpg	4		DF
109	COVATTI FILHO	PP	RS	não	FAVOR	https://www.facebook.com/covatti.filho/	https://twitter.com/covattifilho	https://www.instagram.com/covattifilho/	dep.covattifilho@camara.leg.br	3215-5228			111.jpg	4		DF
110	CRISTIANE BRASIL	PTB	RJ	não	FAVOR	https://www.facebook.com/cristiane.brasil/	https://twitter.com/Dep_CrisBrasil	https://www.instagram.com/deputadacristianebrasil/	dep.cristianebrasil@camara.leg.br	3215-5644			112.jpg	4	Advogada	DF
111	DAGOBERTO	PDT	MS	não	INDECISO	https://www.facebook.com/dagobertopdt/	https://twitter.com/dagobertopdt	https://www.instagram.com/dagobertopdt/	dep.dagoberto@camara.leg.br	3215-5654			113.jpg	4	Advogado e Administrador de Empresas	DF
112	DAMIÃO FELICIANO	PDT	PB	não	CONTRA	https://twitter.com/drdamiaooficial		https://www.instagram.com/dr.damiao/	dep.damiaofeliciano@camara.leg.br	3215-5938			114.jpg	4	Médico, Empresário e Radialista	DF
113	DÂMINA PEREIRA	PSL	MG	não	INDECISO	https://www.facebook.com/deputadafederaldaminapereira/	https://twitter.com/deputadadamina	https://www.instagram.com/deputadadamina/	dep.daminapereira@camara.leg.br	3215-5434			115.jpg	4		DF
114	DANIEL ALMEIDA	PCdoB	BA	não	CONTRA	https://www.facebook.com/depdanielalmeida/	https://twitter.com/daniel_pcdob	https://instagram.com/daniel_pcdob/	dep.danielalmeida@camara.leg.br	3215-5317			116.jpg	4	Industriário	DF
